id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52790373,Rental unit in Cape Town · ★4.56 · 1 bedroom · 1 bed · 1 bath,257734440,Helle,,Ward 115,-33.91676,18.41925,Entire home/apt,554,2,62,2023-06-04,3.45,27,0,39,
52791108,Home in Cape Town · 7 bedrooms · 10 beds · 2 baths,114854722,Abashiya,,Ward 12,-33.94749,18.63446,Entire home/apt,2000,3,0,,,1,222,0,
52791700,Home in Cape Town · ★4.54 · 2 bedrooms · 2 beds · 2 baths,394863283,Justin,,Ward 58,-33.98557,18.47656,Entire home/apt,1469,5,24,2023-04-28,1.27,1,365,17,
52801056,Home in Cape Town · ★4.67 · 2 bedrooms · 4 beds · 2.5 baths,266329724,Rachael,,Ward 23,-33.73393,18.44119,Entire home/apt,2600,3,3,2023-01-01,0.16,2,278,1,
52801757,Rental unit in Cape Town · ★4.64 · 2 bedrooms · 3 beds · 1 bath,4310681,Nandi & Elmarie Experience Creators,,Ward 54,-33.91373,18.39241,Entire home/apt,970,4,11,2023-06-06,1.45,28,280,11,
52806066,Townhouse in Cape Town · 4 bedrooms · 4 beds · 2 baths,3092282,Anne,,Ward 57,-33.94105,18.46959,Entire home/apt,2400,7,1,2023-01-02,0.17,1,0,1,
52806131,Guesthouse in Cape Town · Studio · 1 bed · 0 baths,689326,Leonie,,Ward 74,-34.01032,18.37176,Entire home/apt,4000,15,0,,,2,83,0,
52806309,Guesthouse in Cape Town · ★5.0 · Studio · 1 bed · 1.5 baths,689326,Leonie,,Ward 74,-34.01262,18.37063,Entire home/apt,1650,2,30,2023-05-31,1.48,2,352,16,
52806409,Home in Cape Town · ★5.0 · 3 bedrooms · 3 beds · 2 baths,64719718,Gustav,,Ward 112,-33.82386,18.63716,Entire home/apt,1000,180,8,2022-05-16,0.40,1,0,0,
52810343,Guest suite in Cape Town · ★4.80 · 1 bedroom · 1 bed · 1 bath,185472395,Stephan,,Ward 70,-33.877,18.61,Entire home/apt,974,1,50,2023-06-27,2.43,1,307,28,
52811487,Home in Cape Town · ★5.0 · 4 bedrooms · 3 beds · 2 baths,380526360,Kerryn,,Ward 61,-34.19752,18.37455,Entire home/apt,3830,3,5,2023-04-10,0.75,1,24,5,
52816814,Rental unit in Cape Town · 1 bedroom · 1 bed · 1 private bath,48482912,Pat,,Ward 64,-34.12895,18.40718,Private room,750,2,0,,,1,0,0,
52817383,Home in Cape Town · 3 bedrooms · 4 beds · 2 baths,109214360,Lisa,,Ward 61,-34.2005947,18.3809426,Entire home/apt,2500,7,0,,,1,355,0,
52819366,Vacation home in Cape Town · ★4.71 · 1 bedroom · 2 beds · 1 bath,25482959,Joy,,Ward 69,-34.101,18.36748,Entire home/apt,900,2,7,2023-04-14,0.35,4,303,6,
52819948,Home in Cape Town · 3 bedrooms · 3 beds · 2 baths,427628122,Gys,,Ward 83,-34.09774,18.84025,Entire home/apt,3000,14,0,,,1,0,0,
52820604,Rental unit in Cape Town · ★4.58 · 1 bedroom · 1 bed · 1 bath,259706688,Ongezwa,,Ward 115,-33.91932,18.42348,Entire home/apt,750,2,12,2023-04-30,0.59,1,3,7,
52821273,Condo in Cape Town · ★4.96 · 1 bedroom · 1 bed · 1 bath,76083725,Len,,Ward 55,-33.894168853759766,18.48116683959961,Entire home/apt,980,3,50,2023-06-25,2.78,1,313,43,
52823377,Home in Cape Town · 4 bedrooms · 4 beds · 2 baths,162108903,Nini,,Ward 57,-33.93335,18.44513,Entire home/apt,4950,30,0,,,1,365,0,
52831405,Home in Cape Town · ★4.69 · 1 bedroom · 1 bed · 1 shared bath,95738778,Ronel,,Ward 9,-33.91206,18.65551,Private room,225,3,13,2023-06-18,1.00,5,275,12,
52831412,Home in Cape Town · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,95738778,Ronel,,Ward 9,-33.91396,18.65718,Private room,220,3,17,2023-06-13,0.94,5,357,11,
52831653,Rental unit in Cape Town · ★4.38 · Studio · 1 bed · 1 bath,93770890,Alimama Spaces,,Ward 115,-33.92074,18.42335,Entire home/apt,700,2,13,2023-03-07,0.77,15,365,11,
52831792,Rental unit in Cape Town · ★4.69 · Studio · 1 bed · 1 bath,93770890,Alimama Spaces,,Ward 115,-33.9201,18.42368,Entire home/apt,700,2,16,2023-03-26,0.88,15,365,5,
52832014,Condo in Cape Town · ★3.91 · Studio · 1 bed · 1 bath,45730290,Peter,,Ward 115,-33.92747,18.44403,Entire home/apt,579,30,11,2023-04-12,0.56,5,197,5,
52832265,Rental unit in Cape Town · ★5.0 · Studio · 2 beds · 1.5 baths,45730290,Peter,,Ward 115,-33.92937,18.44519,Entire home/apt,426,28,7,2023-05-27,0.95,5,241,7,
52832622,Rental unit in Cape Town · ★4.05 · Studio · 1 bed · 1 bath,93770890,Alimama Spaces,,Ward 115,-33.91943,18.42336,Entire home/apt,700,2,19,2023-04-08,0.94,15,365,10,
52832634,Rental unit in Cape Town · ★4.16 · Studio · 1 bed · 1 bath,93770890,Alimama Spaces,,Ward 115,-33.91925,18.42532,Entire home/apt,700,2,19,2023-04-06,1.05,15,365,16,
52832700,Rental unit in Cape Town · ★4.33 · Studio · 1 bed · 1 bath,93770890,Alimama Spaces,,Ward 115,-33.9208,18.425,Entire home/apt,700,2,21,2023-04-09,1.06,15,365,13,
52832802,Guest suite in Cape Town · ★5.0 · 1 bedroom · 1 bed · 1 bath,60880541,Darwin,,Ward 53,-33.93837,18.50252,Entire home/apt,795,2,14,2023-04-26,0.76,1,365,11,
52836416,Home in Cape Town · 4 bedrooms · 5 beds · 3 baths,161702732,Dhey,,Ward 55,-33.88207,18.51333,Entire home/apt,6000,3,0,,,8,0,0,
52837018,Home in Cape Town · 4 bedrooms · 5 beds · 3 baths,161702732,Dhey,,Ward 55,-33.88491,18.51081,Entire home/apt,5000,3,1,2022-12-29,0.16,8,0,1,
